id_departamento,Cueanexo,Departamento,Común,Primario,Jardin,Secundario
2021,20037400,Comuna 3,,0.0,0.0,0.0
2021,20037500,Comuna 3,,0.0,0.0,0.0
2105,20037600,Comuna 5,,0.0,0.0,0.0
2042,20037900,Comuna 6,1.0,0.0,1.0,0.0
2049,20038000,Comuna 7,1.0,1.0,0.0,0.0
2056,20038100,Comuna 8,1.0,0.0,1.0,0.0
2049,20038200,Comuna 7,1.0,0.0,1.0,0.0
2084,20038300,Comuna 12,1.0,0.0,0.0,1.0
2084,20038400,Comuna 12,,0.0,0.0,0.0
2084,20038500,Comuna 12,,0.0,0.0,0.0
2105,20038600,Comuna 5,1.0,1.0,0.0,0.0
2084,20038700,Comuna 12,1.0,1.0,1.0,1.0
2105,20038800,Comuna 5,,0.0,0.0,0.0
2028,20038900,Comuna 4,,0.0,0.0,0.0
2098,20039000,Comuna 14,,0.0,0.0,0.0
2014,20039100,Comuna 2,,0.0,0.0,0.0
2007,20039200,Comuna 1,,0.0,0.0,0.0
2014,20039300,Comuna 2,,0.0,0.0,0.0
2014,20039400,Comuna 2,,0.0,0.0,0.0
2049,20039800,Comuna 7,1.0,0.0,1.0,0.0
2049,20039801,Comuna 7,1.0,1.0,0.0,0.0
2077,20039900,Comuna 11,1.0,1.0,0.0,0.0
2049,20040000,Comuna 7,1.0,1.0,0.0,0.0
2091,20040100,Comuna 13,1.0,0.0,0.0,1.0
2105,20040200,Comuna 5,1.0,1.0,1.0,1.0
2049,20040300,Comuna 7,1.0,1.0,1.0,1.0
2105,20040400,Comuna 5,1.0,1.0,0.0,0.0
2098,20040500,Comuna 14,,0.0,0.0,0.0
2021,20040700,Comuna 3,1.0,1.0,1.0,1.0
2105,20040800,Comuna 5,,0.0,0.0,0.0
2105,20040801,Comuna 5,,0.0,0.0,0.0
2056,20040900,Comuna 8,,0.0,0.0,0.0
2021,20041000,Comuna 3,1.0,1.0,0.0,0.0
2028,20041100,Comuna 4,1.0,1.0,1.0,1.0
2021,20041200,Comuna 3,1.0,1.0,1.0,0.0
2070,20041300,Comuna 10,1.0,1.0,0.0,0.0
2091,20041400,Comuna 13,1.0,0.0,0.0,1.0
2091,20041500,Comuna 13,1.0,1.0,1.0,1.0
2091,20041600,Comuna 13,,0.0,0.0,0.0
2070,20041700,Comuna 10,1.0,1.0,0.0,0.0
2028,20041800,Comuna 4,1.0,1.0,0.0,0.0
2049,20041900,Comuna 7,1.0,1.0,0.0,0.0
2105,20042000,Comuna 5,1.0,1.0,1.0,1.0
2091,20042100,Comuna 13,1.0,1.0,0.0,0.0
2028,20042200,Comuna 4,1.0,1.0,1.0,1.0
2014,20042300,Comuna 2,,0.0,0.0,0.0
2007,20042400,Comuna 1,1.0,0.0,0.0,0.0
2021,20042500,Comuna 3,1.0,1.0,1.0,0.0
2056,20042600,Comuna 8,1.0,0.0,1.0,0.0
2084,20042700,Comuna 12,1.0,0.0,1.0,0.0
2077,20042800,Comuna 11,1.0,1.0,1.0,1.0
2007,20043100,Comuna 1,,0.0,0.0,0.0
2056,20043300,Comuna 8,1.0,1.0,0.0,0.0
2105,20043600,Comuna 15,,0.0,0.0,0.0
2098,20043700,Comuna 14,1.0,1.0,1.0,0.0
2021,20043800,Comuna 3,1.0,1.0,0.0,0.0
2021,20043900,Comuna 3,1.0,0.0,1.0,0.0
2077,20044000,Comuna 11,1.0,1.0,1.0,0.0
2028,20044100,Comuna 4,1.0,1.0,0.0,0.0
2028,20044200,Comuna 4,1.0,0.0,1.0,0.0
2049,20044400,Comuna 7,1.0,0.0,1.0,0.0
2105,20044600,Comuna 5,1.0,1.0,1.0,0.0
2077,20044700,Comuna 11,1.0,1.0,0.0,0.0
2105,20045100,Comuna 15,1.0,0.0,0.0,0.0
2021,20045200,Comuna 3,,0.0,0.0,0.0
2021,20045300,Comuna 3,,0.0,0.0,0.0
2028,20045500,Comuna 4,1.0,1.0,1.0,0.0
2007,20045600,Comuna 1,1.0,1.0,1.0,0.0
2007,20045700,Comuna 1,1.0,1.0,1.0,0.0
2021,20045800,Comuna 3,1.0,0.0,0.0,0.0
2021,20045900,Comuna 3,,0.0,0.0,0.0
2091,20046000,Comuna 13,1.0,0.0,0.0,1.0
2091,20046100,Comuna 13,1.0,1.0,0.0,0.0
2070,20046200,Comuna 10,1.0,1.0,0.0,0.0
2084,20046300,Comuna 12,1.0,1.0,0.0,0.0
2042,20046400,Comuna 6,1.0,1.0,1.0,0.0
2077,20046500,Comuna 11,,0.0,0.0,0.0
2091,20046700,Comuna 13,1.0,0.0,1.0,0.0
2091,20046702,Comuna 13,1.0,0.0,1.0,0.0
2091,20046703,Comuna 13,1.0,0.0,1.0,0.0
2028,20046800,Comuna 4,,0.0,0.0,0.0
2007,20046900,Comuna 1,1.0,0.0,0.0,1.0
2028,20047000,Comuna 4,1.0,1.0,0.0,0.0
2028,20047200,Comuna 4,1.0,1.0,0.0,0.0
2028,20047300,Comuna 4,1.0,1.0,0.0,0.0
2028,20047400,Comuna 4,1.0,1.0,0.0,0.0
2028,20047600,Comuna 4,1.0,1.0,0.0,0.0
2028,20047700,Comuna 4,1.0,0.0,1.0,0.0
2105,20047800,Comuna 15,1.0,0.0,0.0,1.0
2098,20047900,Comuna 14,1.0,1.0,1.0,1.0
2014,20048000,Comuna 2,,0.0,0.0,0.0
2014,20048100,Comuna 2,1.0,1.0,0.0,0.0
2098,20048300,Comuna 14,1.0,0.0,0.0,1.0
2028,20048400,Comuna 4,1.0,1.0,0.0,0.0
2028,20048500,Comuna 4,1.0,1.0,0.0,0.0
2077,20048600,Comuna 11,1.0,1.0,1.0,1.0
2049,20048700,Comuna 7,1.0,0.0,0.0,1.0
2091,20048900,Comuna 13,1.0,1.0,0.0,0.0
2105,20049000,Comuna 15,1.0,1.0,0.0,0.0
2021,20049100,Comuna 3,1.0,1.0,0.0,0.0
2021,20049200,Comuna 3,1.0,0.0,1.0,0.0
2105,20049300,Comuna 15,1.0,1.0,1.0,1.0
2105,20049400,Comuna 15,1.0,0.0,0.0,1.0
2077,20049500,Comuna 11,1.0,1.0,0.0,0.0
2091,20049600,Comuna 13,1.0,1.0,1.0,1.0
2084,20049700,Comuna 12,1.0,1.0,0.0,0.0
2028,20049800,Comuna 4,,0.0,0.0,0.0
2028,20049900,Comuna 4,1.0,0.0,0.0,1.0
2091,20050000,Comuna 13,1.0,0.0,0.0,1.0
2091,20050200,Comuna 13,1.0,1.0,1.0,1.0
2028,20050300,Comuna 4,1.0,1.0,1.0,1.0
2007,20050400,Comuna 1,1.0,1.0,0.0,0.0
2021,20050500,Comuna 3,,0.0,0.0,0.0
2021,20050600,Comuna 3,1.0,0.0,0.0,1.0
2028,20050800,Comuna 4,1.0,1.0,1.0,1.0
2007,20050900,Comuna 1,1.0,0.0,0.0,1.0
2091,20051100,Comuna 13,1.0,1.0,1.0,0.0
2091,20051101,Comuna 13,1.0,0.0,0.0,1.0
2063,20051200,Comuna 9,1.0,1.0,1.0,1.0
2063,20051300,Comuna 9,1.0,1.0,0.0,0.0
2063,20051301,Comuna 9,1.0,0.0,1.0,0.0
2063,20051302,Comuna 9,1.0,0.0,0.0,1.0
2063,20051400,Comuna 9,1.0,1.0,0.0,0.0
2105,20051600,Comuna 15,1.0,1.0,0.0,0.0
2105,20051800,Comuna 15,1.0,1.0,0.0,0.0
2105,20051900,Comuna 15,1.0,1.0,0.0,0.0
2028,20052000,Comuna 4,1.0,1.0,0.0,0.0
2028,20052100,Comuna 4,1.0,1.0,1.0,1.0
2028,20052300,Comuna 4,1.0,1.0,0.0,0.0
2021,20052400,Comuna 3,1.0,1.0,0.0,0.0
2007,20052500,Comuna 1,1.0,1.0,1.0,0.0
2091,20052600,Comuna 13,1.0,0.0,0.0,0.0
2091,20052700,Comuna 13,1.0,1.0,0.0,1.0
2007,20052800,Comuna 1,1.0,1.0,0.0,0.0
2091,20053000,Comuna 13,1.0,1.0,0.0,0.0
2091,20053100,Comuna 13,1.0,0.0,0.0,0.0
2091,20053200,Comuna 13,1.0,1.0,1.0,0.0
2084,20053300,Comuna 12,1.0,1.0,0.0,0.0
2091,20053400,Comuna 13,1.0,1.0,1.0,1.0
2091,20053500,Comuna 13,1.0,1.0,1.0,1.0
2007,20053600,Comuna 1,1.0,1.0,1.0,1.0
2056,20053601,Comuna 8,1.0,0.0,0.0,0.0
2021,20053700,Comuna 3,,0.0,0.0,0.0
2007,20053800,Comuna 1,,0.0,0.0,0.0
2105,20053900,Comuna 5,1.0,0.0,0.0,0.0
2028,20054000,Comuna 4,1.0,1.0,0.0,0.0
