provincia,departamento,cantidad_bp,cantidad_ee,poblacion_total
Buenos Aires,CARLOS TEJEDOR,2,60,14007.0
Buenos Aires,DAIREAUX,0,60,18328.0
Buenos Aires,GUAMINI,5,59,11662.0
Buenos Aires,PUAN,3,59,16391.0
Buenos Aires,RAUCH,2,59,16491.0
Catamarca,ANDALGALA,1,59,19545.0
Chaco,SAN LORENZO,1,59,16045.0
La Rioja,CHAMICAL,1,59,15630.0
San Luis,LIBERTADOR GRL SAN MARTIN,1,59,4691.0
Córdoba,TOTORAL,0,59,22473.0
Neuquén,LACAR,4,58,39567.0
Catamarca,SANTA ROSA,3,58,13317.0
Salta,METAN,2,58,48028.0
San Luis,BELGRANO,2,58,5575.0
Buenos Aires,RIVADAVIA,1,58,19735.0
Buenos Aires,ROQUE PEREZ,1,58,13901.0
Santiago del Estero,QUEBRACHOS,1,58,12336.0
Buenos Aires,TORNQUIST,4,57,14591.0
Buenos Aires,CARMEN DE ARECO,1,57,17345.0
Buenos Aires,GENERAL ALVEAR,1,57,10150.0
Corrientes,SAN COSME,1,57,19679.0
Salta,ROSARIO DE LERMA,1,57,50961.0
San Juan,SANTA LUCIA,4,56,62697.0
San Juan,VALLE FERTIL,2,56,8425.0
Tucumán,FAMAILLA,2,56,42669.0
Tucumán,TAFI DEL VALLE,2,56,22382.0
Buenos Aires,DOLORES,1,56,31405.0
Jujuy,PALPALA,4,55,65522.0
Buenos Aires,MONTE,2,55,24616.0
Jujuy,COCHINOCA,3,54,14998.0
Salta,GENERAL GUEMES,3,54,55746.0
Corrientes,SAN ROQUE,2,54,22682.0
Salta,SANTA VICTORIA,1,54,9411.0
Buenos Aires,GENERAL PAZ,0,54,14141.0
Buenos Aires,COLON,1,53,27406.0
La Pampa,REALICO,8,52,17356.0
San Luis,CHACABUCO,6,52,26522.0
Santa Fe,GARAY,2,52,24853.0
Chaco,FRAY JUSTO SANTA MARIA DE ORO,1,52,10643.0
Buenos Aires,GENERAL VIAMONTE,2,51,22530.0
Buenos Aires,TAPALQUE,1,51,10695.0
Catamarca,EL ALTO,1,51,4375.0
Corrientes,SAN MARTIN,0,51,15164.0
La Rioja,GENERAL OCAMPO,0,51,7347.0
San Luis,CORONEL PRINGLES,4,50,16044.0
Buenos Aires,BENITO JUAREZ,1,50,21185.0
La Rioja,GENERAL SAN MARTIN,0,50,5017.0
Buenos Aires,LEANDRO N. ALEM,3,49,17153.0
Buenos Aires,VILLA GESELL,2,49,37325.0
Salta,ROSARIO DE LA FRONTERA,2,49,33750.0
Tucumán,JUAN B ALBERDI,1,49,34745.0
Catamarca,POMAN,3,48,12219.0
Entre Ríos,SAN SALVADOR,2,48,20786.0
Buenos Aires,GENERAL BELGRANO,0,48,20674.0
Catamarca,VALLE VIEJO,4,47,33951.0
Buenos Aires,ADOLFO GONZALES CHAVES,2,47,12847.0
San Juan,CALINGASTA,2,47,10667.0
Buenos Aires,GENERAL LA MADRID,1,46,11535.0
Buenos Aires,GENERAL ARENALES,2,45,16231.0
La Rioja,GENERAL BELGRANO,2,45,7615.0
Buenos Aires,GENERAL LAS HERAS,1,45,17980.0
Córdoba,MINAS,0,45,4855.0
La Pampa,UTRACAN,5,44,17686.0
Corrientes,SAUCE,1,44,10382.0
La Rioja,CORONEL FELIPE VARELA,1,44,11371.0
San Juan,ALBARDON,1,44,31281.0
Santiago del Estero,ATAMISQUI,1,44,14894.0
Tucumán,LA COCHA,1,44,21196.0
Córdoba,POCHO,0,44,5070.0
Buenos Aires,ALBERTI,2,43,12906.0
Buenos Aires,PINAMAR,2,43,39224.0
Buenos Aires,LAPRIDA,1,43,11496.0
Neuquén,HUILICHES,1,43,20853.0
Neuquén,CHOS MALAL,4,42,18289.0
San Juan,SAN MARTIN,3,42,15037.0
Buenos Aires,SUIPACHA,1,42,11736.0
Misiones,CONCEPCION,1,42,10303.0
Catamarca,ANCASTI,0,42,3282.0
Chaco,1§ DE MAYO,0,42,14265.0
La Pampa,CONHELO,5,41,15094.0
Buenos Aires,GENERAL PINTO,4,41,12842.0
Neuquén,MINAS,3,41,9267.0
Neuquén,PEHUENCHES,2,41,29721.0
La Rioja,FAMATINA,1,41,6984.0
Corrientes,SAN MIGUEL,0,40,12700.0
San Juan,ANGACO,0,40,10172.0
Neuquén,ALUMINE,3,39,10173.0
Chaco,LIBERTAD,0,39,13775.0
Salta,CERRILLOS,2,38,55713.0
San Juan,IGLESIA,2,38,8826.0
Buenos Aires,CAPITAN SARMIENTO,1,38,15882.0
Buenos Aires,PUNTA INDIO,1,38,12161.0
La Rioja,GENERAL JUAN F QUIROGA,0,38,4013.0
Santiago del Estero,GUASAYAN,0,38,9251.0
La Pampa,RANCUL,6,37,11090.0
Buenos Aires,MAIPU,1,37,11253.0
Chaco,PRESIDENCIA DE LA PLAZA,1,37,13938.0
Catamarca,AMBATO,1,36,5087.0
Chubut,GAIMAN,3,35,12505.0
Jujuy,SANTA BARBARA,2,35,20497.0
Buenos Aires,CASTELLI,1,35,9551.0
Buenos Aires,PILA,0,35,4615.0
Mendoza,LA PAZ,0,35,12018.0
San Luis,GOBERNADOR DUPUY,2,34,14334.0
Jujuy,TILCARA,1,34,14621.0
