Departamento,provincia,cantidad
ITUZAINGO,Corrientes,81
ALBERDI,Santiago del Estero,81
HUCAL,La Pampa,80
BELLA VISTA,Corrientes,80
25 DE MAYO,Chaco,80
CAUCETE,San Juan,78
JIMENEZ,Santiago del Estero,77
MALARGUE,Mendoza,76
CASTRO BARROS,La Rioja,76
IGLESIA,San Juan,76
CERRILLOS,Salta,76
LAS FLORES,Buenos Aires,75
TRANCAS,Tucumán,75
MAGDALENA,Buenos Aires,75
MAR CHIQUITA,Buenos Aires,75
ISLAS DEL IBICUY,Entre Ríos,74
SARMIENTO,San Juan,72
SALADAS,Corrientes,70
JUAN F IBARRA,Santiago del Estero,70
SANTA BARBARA,Jujuy,70
GENERAL JUAN MADARIAGA,Buenos Aires,69
TULUMBA,Córdoba,69
GOBERNADOR DUPUY,San Luis,68
RIO SECO,Córdoba,68
GRANEROS,Tucumán,67
12 DE OCTUBRE,Chaco,67
PILCANIYEU,Río Negro,66
TUPUNGATO,Mendoza,66
CORONEL PRINGLES,Buenos Aires,66
ROJAS,Buenos Aires,63
ARRECIFES,Buenos Aires,63
EL CUY,Río Negro,62
SAN LUIS DEL PALMAR,Corrientes,61
EMPEDRADO,Corrientes,61
CHAMICAL,La Rioja,59
ANDALGALA,Catamarca,59
LIBERTADOR GRL SAN MARTIN,San Luis,59
SAN LORENZO,Chaco,59
RIVADAVIA,Buenos Aires,58
QUEBRACHOS,Santiago del Estero,58
ROQUE PEREZ,Buenos Aires,58
SAN CAYETANO,Buenos Aires,58
PACLIN,Catamarca,58
GENERAL ALVEAR,Buenos Aires,57
CARMEN DE ARECO,Buenos Aires,57
ROSARIO DE LERMA,Salta,57
SAN COSME,Corrientes,57
CATRILO,La Pampa,57
DOLORES,Buenos Aires,56
SANTA VICTORIA,Salta,54
COLON,Buenos Aires,53
FRAY JUSTO SANTA MARIA DE ORO,Chaco,52
TAPALQUE,Buenos Aires,51
EL ALTO,Catamarca,51
BENITO JUAREZ,Buenos Aires,50
ÑORQUIN,Neuquén,50
JUAN B ALBERDI,Tucumán,49
TUMBAYA,Jujuy,48
GENERAL LA MADRID,Buenos Aires,46
GENERAL LAS HERAS,Buenos Aires,45
ATAMISQUI,Santiago del Estero,44
SAUCE,Corrientes,44
ALBARDON,San Juan,44
CORONEL FELIPE VARELA,La Rioja,44
SUSQUES,Jujuy,44
ÑORQUINCO,Río Negro,44
LA COCHA,Tucumán,44
LAPRIDA,Buenos Aires,43
HUILICHES,Neuquén,43
LA CALDERA,Salta,42
SUIPACHA,Buenos Aires,42
CONCEPCION,Misiones,42
FAMATINA,La Rioja,41
CAPITAN SARMIENTO,Buenos Aires,38
PUNTA INDIO,Buenos Aires,38
PRESIDENCIA DE LA PLAZA,Chaco,37
MAIPU,Buenos Aires,37
AMBATO,Catamarca,36
CASTELLI,Buenos Aires,35
TRENEL,La Pampa,34
ARAUCO,La Rioja,34
TILCARA,Jujuy,34
LAGO ARGENTINO,Santa Cruz,33
2 DE ABRIL,Chaco,33
TEHUELCHES,Chubut,32
HIPOLITO YRIGOYEN,Buenos Aires,31
PICHI MAHUIDA,Río Negro,30
SAN CARLOS,Salta,30
GENERAL LAVALLE,Buenos Aires,29
GENERAL BELGRANO,Chaco,28
ITATI,Corrientes,28
GENERAL ANGEL V PEÑALOZA,La Rioja,27
GENERAL GUIDO,Buenos Aires,27
TRES LOMAS,Buenos Aires,27
SARMIENTO,Chubut,26
LA CANDELARIA,Salta,26
RIO SENGUER,Chubut,25
GENERAL ALVEAR,Corrientes,25
PELLEGRINI,Buenos Aires,25
CONESA,Río Negro,25
MOLINOS,Salta,25
AÑELO,Neuquén,25
PICUNCHES,Neuquén,24
RIVADAVIA,Santiago del Estero,24
BELGRANO,Santiago del Estero,24
LOS LAGOS,Neuquén,24
LONCOPUE,Neuquén,23
CAFAYATE,Salta,23
RIO CHICO,Santa Cruz,22
VALCHETA,Río Negro,22
MONTE HERMOSO,Buenos Aires,21
TOAY,La Pampa,21
SAN BLAS DE LOS SAUCES,La Rioja,21
LAGO BUENOS AIRES,Santa Cruz,20
9 DE JULIO,San Juan,19
LOS ANDES,Salta,19
CATAN LIL,Neuquén,17
TELSEN,Chubut,16
TORDILLO,Buenos Aires,15
COLLON CURA,Neuquén,14
PICUN LEUFU,Neuquén,13
ULLUM,San Juan,12
LANGUIÑEO,Chubut,12
LA POMA,Salta,12
ZONDA,San Juan,12
SAN ANTONIO,Jujuy,9
CALEU CALEU,La Pampa,7
LIHUEL CALEL,La Pampa,4
SANAGASTA,La Rioja,3
