Cueanexo,Jurisdicción,Código de departamento,Común,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20034800,Ciudad de Buenos Aires,2112,,,,,
20034900,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20035000,Ciudad de Buenos Aires,2112,1.0,,,,1.0
20035100,Ciudad de Buenos Aires,2111,1.0,,,1.0,
20035200,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20035300,Ciudad de Buenos Aires,2115,1.0,1.0,1.0,,
20035400,Ciudad de Buenos Aires,2102,1.0,1.0,1.0,1.0,1.0
20035500,Ciudad de Buenos Aires,2102,1.0,1.0,1.0,1.0,
20035600,Ciudad de Buenos Aires,2102,1.0,,,,
20035800,Ciudad de Buenos Aires,2113,1.0,,,1.0,
20036100,Ciudad de Buenos Aires,2102,1.0,,,,
20036200,Ciudad de Buenos Aires,2108,1.0,,,1.0,
20036300,Ciudad de Buenos Aires,2112,1.0,,,1.0,
20036400,Ciudad de Buenos Aires,2115,1.0,,,,1.0
20036500,Ciudad de Buenos Aires,2106,,,,,
20036600,Ciudad de Buenos Aires,2106,1.0,,,,
20036601,Ciudad de Buenos Aires,2108,1.0,,,,
20036800,Ciudad de Buenos Aires,2106,1.0,1.0,1.0,1.0,
20037000,Ciudad de Buenos Aires,2115,1.0,,,1.0,
20037100,Ciudad de Buenos Aires,2103,,,,,
20037200,Ciudad de Buenos Aires,2115,1.0,,,,
20037300,Ciudad de Buenos Aires,2103,,,,,
20037400,Ciudad de Buenos Aires,2103,,,,,
20037500,Ciudad de Buenos Aires,2103,,,,,
20037600,Ciudad de Buenos Aires,2105,,,,,
20037900,Ciudad de Buenos Aires,2106,1.0,1.0,1.0,,
20038000,Ciudad de Buenos Aires,2107,1.0,,,1.0,
20038100,Ciudad de Buenos Aires,2108,1.0,1.0,1.0,,
20038200,Ciudad de Buenos Aires,2107,1.0,,1.0,,
20038300,Ciudad de Buenos Aires,2112,1.0,,,,1.0
