Departamento,provincia,cantidad
CORONEL FELIPE VARELA,La Rioja,44
POCHO,Córdoba,44
LA COCHA,Tucumán,44
UTRACAN,La Pampa,44
ATAMISQUI,Santiago del Estero,44
HUILICHES,Neuquén,43
PINAMAR,Buenos Aires,43
LAPRIDA,Buenos Aires,43
ALBERTI,Buenos Aires,43
CHOS MALAL,Neuquén,42
CONCEPCION,Misiones,42
SAN MARTIN,San Juan,42
ANCASTI,Catamarca,42
1§ DE MAYO,Chaco,42
SUIPACHA,Buenos Aires,42
GENERAL PINTO,Buenos Aires,41
PEHUENCHES,Neuquén,41
FAMATINA,La Rioja,41
MINAS,Neuquén,41
CONHELO,La Pampa,41
SAN MIGUEL,Corrientes,40
ANGACO,San Juan,40
LIBERTAD,Chaco,39
ALUMINE,Neuquén,39
CAPITAN SARMIENTO,Buenos Aires,38
IGLESIA,San Juan,38
GENERAL JUAN F QUIROGA,La Rioja,38
CERRILLOS,Salta,38
GUASAYAN,Santiago del Estero,38
PUNTA INDIO,Buenos Aires,38
RANCUL,La Pampa,37
MAIPU,Buenos Aires,37
PRESIDENCIA DE LA PLAZA,Chaco,37
AMBATO,Catamarca,36
GAIMAN,Chubut,35
CASTELLI,Buenos Aires,35
LA PAZ,Mendoza,35
SANTA BARBARA,Jujuy,35
PILA,Buenos Aires,35
IRUYA,Salta,34
GOBERNADOR DUPUY,San Luis,34
TILCARA,Jujuy,34
MBURUCUYA,Corrientes,34
ARAUCO,La Rioja,34
FLORENTINO AMEGHINO,Buenos Aires,33
PILCANIYEU,Río Negro,33
SILIPICA,Santiago del Estero,33
2 DE ABRIL,Chaco,33
CHAPALEUFU,La Pampa,33
LAGO ARGENTINO,Santa Cruz,33
FRAY MAMERTO ESQUIU,Catamarca,32
EL CUY,Río Negro,31
CHICOANA,Salta,31
HIPOLITO YRIGOYEN,Buenos Aires,31
ATREUCO,La Pampa,31
PICHI MAHUIDA,Río Negro,30
SAN CARLOS,Salta,30
LEZAMA,Buenos Aires,29
GENERAL LAVALLE,Buenos Aires,29
PACLIN,Catamarca,29
SAN CAYETANO,Buenos Aires,29
GENERAL BELGRANO,Chaco,28
LOVENTUE,La Pampa,28
ITATI,Corrientes,28
9 DE JULIO,Río Negro,28
GENERAL ANGEL V PEÑALOZA,La Rioja,27
CACHI,Salta,27
PUELEN,La Pampa,27
TRES LOMAS,Buenos Aires,27
GENERAL GUIDO,Buenos Aires,27
SARMIENTO,Santiago del Estero,27
SANTA CATALINA,Jujuy,26
SARMIENTO,Chubut,26
QUEMU QUEMU,La Pampa,26
GUATRACHE,La Pampa,26
AGUIRRE,Santiago del Estero,26
GENERAL ALVEAR,Corrientes,25
RIO SENGUER,Chubut,25
CONESA,Río Negro,25
MOLINOS,Salta,25
AÑELO,Neuquén,25
ÑORQUIN,Neuquén,25
PELLEGRINI,Buenos Aires,25
LOS LAGOS,Neuquén,24
TUMBAYA,Jujuy,24
PICUNCHES,Neuquén,24
RIVADAVIA,Santiago del Estero,24
BELGRANO,Santiago del Estero,24
LONCOPUE,Neuquén,23
CORPEN AIKE,Santa Cruz,23
SOBREMONTE,Córdoba,23
CAFAYATE,Salta,23
SALLIQUELO,Buenos Aires,23
SUSQUES,Jujuy,22
ÑORQUINCO,Río Negro,22
VALCHETA,Río Negro,22
MONTE HERMOSO,Buenos Aires,21
LA CALDERA,Salta,21
TOAY,La Pampa,21
SAN BLAS DE LOS SAUCES,La Rioja,21
HUCAL,La Pampa,20
LAGO BUENOS AIRES,Santa Cruz,20
CASTRO BARROS,La Rioja,19
9 DE JULIO,San Juan,19
CATRILO,La Pampa,19
LOS ANDES,Salta,19
TAPENAGA,Chaco,18
RINCONADA,Jujuy,18
TRENEL,La Pampa,17
CATAN LIL,Neuquén,17
LA VIÑA,Salta,17
TEHUELCHES,Chubut,16
TOLHUIN,Tierra del Fuego,16
MAGALLANES,Santa Cruz,15
TORDILLO,Buenos Aires,15
GUACHIPAS,Salta,15
INDEPENDENCIA,La Rioja,14
VALLE GRANDE,Jujuy,14
COLLON CURA,Neuquén,14
LA CANDELARIA,Salta,13
PICUN LEUFU,Neuquén,13
MITRE,Santiago del Estero,13
ULLUM,San Juan,12
LANGUIÑEO,Chubut,12
LA POMA,Salta,12
ZONDA,San Juan,12
VINCHINA,La Rioja,12
RIO CHICO,Santa Cruz,11
ANTOFAGASTA DE LA SIERRA,Catamarca,11
CHICAL CO,La Pampa,10
GASTRE,Chubut,10
BERON DE ASTRADA,Corrientes,10
SAN ANTONIO,Jujuy,9
GENERAL LAMADRID,La Rioja,9
TELSEN,Chubut,8
CURACO,La Pampa,8
PASO DE INDIOS,Chubut,8
CHALILEO,La Pampa,7
CALEU CALEU,La Pampa,7
LIMAY MAHUIDA,La Pampa,5
FLORENTINO AMEGHINO,Chubut,5
LIHUEL CALEL,La Pampa,4
SANAGASTA,La Rioja,3
MARTIRES,Chubut,3
